"";"team.name";"player.name";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"number_of_matches";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"945";"Belgium";"Yannick Ferreira Carrasco";8;43;67;3;5,4;1;0;96,2;34,8;2;0;0;5,4;0;0,119;2,667;14,333;22,333;1,8;0,333;0;32,067;11,6;0,667;0;1,8;0;2,667
"220";"Austria";"Florian Grillitsch";44;154;290;3;12;43;3;58,04;39,89;3,88;64;79;4,35;0,019;0,152;14,667;51,333;96,667;4;14,333;1;19,347;13,297;1,293;21,333;1,45;26,333;14,667
"939";"Austria";"Alessandro Schöpf";2;38;24;2;4,66;5;0;65,64;55,43;5,36;10;7;-3,54;0;0,083;1;19;12;2,33;2,5;0;32,82;27,715;2,68;5;-1,77;3,5;1
"11131";"Austria";"Louis Schaub";4;6;17;1;10,67;4;1;85,73;53,73;3,5;5;14;5,62;0,167;0,235;4;6;17;10,67;4;1;85,73;53,73;3,5;5;5,62;14;4
"1165";"Austria";"Stefan Ilsanker";9;13;22;2;18,05;4;2;67,22;49,4;2;4;9;12,76;0,154;0,409;4,5;6,5;11;9,025;2;1;33,61;24,7;1;2;6,38;4,5;4,5
"1208";"Austria";"Christopher Trimmel";0;1;0;1;10,3;1;0;79,9;51;5;1;0;10,3;0;0;0;1;0;10,3;1;0;79,9;51;5;1;10,3;0;0
"2111";"Hungary";"Endre Botka";9;65;147;3;15,7;16;1;46,73;61,77;4,14;15;21;8,66;0,015;0,061;3;21,667;49;5,233;5,333;0,333;15,577;20,59;1,38;5;2,887;7;3
"251";"Hungary";"Attila Szalai";30;106;259;3;24,5;23;3;49,11;23,37;3,07;20;40;17,79;0,028;0,116;10;35,333;86,333;8,167;7,667;1;16,37;7,79;1,023;6,667;5,93;13,333;10
"262";"Hungary";"Péter Gulácsi";6;58;124;3;33,06;16;2;44,96;48,51;2,75;12;23;33,06;0,034;0,048;2;19,333;41,333;11,02;5,333;0,667;14,987;16,17;0,917;4;11,02;7,667;2
"302";"Hungary";"Ádám Nagy";21;99;157;3;17,28;15;0;49,12;47,39;4,36;21;35;7,03;0;0,134;7;33;52,333;5,76;5;0;16,373;15,797;1,453;7;2,343;11,667;7
"416";"Hungary";"Willi Orban";13;68;115;3;19,25;13;0;38,66;43,82;4,95;16;16;10,53;0;0,113;4,333;22,667;38,333;6,417;4,333;0;12,887;14,607;1,65;5,333;3,51;5,333;4,333
"441";"Hungary";"Loïc Négo";13;47;88;3;14,94;12;2;58,21;67,31;3,59;13;29;6,45;0,043;0,148;4,333;15,667;29,333;4,98;4;0,667;19,403;22,437;1,197;4,333;2,15;9,667;4,333
"453";"Hungary";"László Kleinheisler";16;52;75;3;8,73;9;1;62,92;52,67;4,53;13;11;-1,31;0,019;0,213;5,333;17,333;25;2,91;3;0,333;20,973;17,557;1,51;4,333;-0,437;3,667;5,333
"531";"Hungary";"Roland Sallai";3;34;56;3;8,82;6;1;64,17;31,25;3,33;10;11;1,73;0,029;0,054;1;11,333;18,667;2,94;2;0,333;21,39;10,417;1,11;3,333;0,577;3,667;1
